Circuit_ID,Segment,Service,Contract_Months,Months_Remaining,SLA_Uptime_Pct,Service_Tickets_Last_90d,CapEx_Investment,Monthly_Revenue,Churn_Prob,Churned
SRG-00000,Enterprise,Managed SD-WAN,60,10,98.99403140161012,3,30998.30656753848,12191.343255786993,1.202387439355954,1
SRG-00001,SMB,Dark Fiber,36,2,99.7739950004137,5,98100.51900369761,12563.44742979862,3.090401999834518,1
SRG-00002,SMB,Managed SD-WAN,60,51,98.80854295572418,3,61644.5646471067,18106.09926109995,0.8746220333966034,0
SRG-00003,Wholesale,Managed SD-WAN,120,11,98.60602584490842,2,72425.02305609692,23605.039980873677,1.2121351165820882,1
SRG-00004,Enterprise,Dedicated Fiber,36,13,98.6028213129931,3,5698.993814414381,9239.050020838851,1.2434868594181445,1
SRG-00005,Enterprise,Dedicated Fiber,60,10,99.90176893554963,2,54229.54455733948,2491.7110116605136,0.7392924257801496,0
SRG-00006,Enterprise,Managed SD-WAN,60,14,99.25531145256313,2,8565.222465521296,13162.935449265033,0.8550182761176034,0
SRG-00007,SMB,Dedicated Fiber,60,18,99.11002398700735,1,59076.87014868756,14294.841305505463,0.7337681829748369,0
SRG-00008,SMB,Dark Fiber,36,51,99.7082090857018,1,92473.23071542715,5458.352951600009,0.31475558140555615,0
SRG-00009,SMB,Dark Fiber,120,54,99.74538063258666,1,96999.81739753875,19370.918247487567,0.2944403395579288,0
SRG-00010,Enterprise,Dedicated Fiber,60,9,98.99496463934224,4,56352.50416194779,24645.834048375054,1.3575696998186586,1
SRG-00011,SMB,Dark Fiber,60,57,99.53349090563596,3,48529.45649896051,23725.705849698832,0.574322935991231,0
SRG-00012,SMB,Dedicated Fiber,60,39,99.6489729956193,1,94776.62395360693,6131.991912355827,0.368615929957407,0
SRG-00013,Enterprise,Managed SD-WAN,60,28,99.47542952343026,1,68992.93403968604,22071.036137667877,0.48839961919932273,0
SRG-00014,Enterprise,Managed SD-WAN,60,3,98.72587666145215,3,11165.431556148898,18055.60045567459,2.4763160020858077,1
SRG-00015,Enterprise,Dark Fiber,120,20,99.80506579444041,1,49243.929878412266,12165.394249462423,0.42797368222383625,0
SRG-00016,Enterprise,Dedicated Fiber,120,6,99.30325088357665,1,27823.276754108872,14204.358366631132,1.2120329799026726,1
SRG-00017,Wholesale,Dedicated Fiber,60,27,98.9208839152913,1,49631.410537624746,21465.604112087767,0.7168316190686657,0
SRG-00018,Wholesale,Dark Fiber,36,53,99.13358999630216,1,48269.22934060436,12783.171081501769,0.5409036241206442,0
SRG-00019,Enterprise,Managed SD-WAN,120,2,98.55598092469437,0,60303.756267400495,10270.373173970482,3.077607630122253,1
SRG-00020,SMB,Dark Fiber,36,29,98.6905215338214,3,38893.19658317887,13091.316086110666,0.9962051795748899,0
SRG-00021,Enterprise,Managed SD-WAN,120,38,99.64066465826863,1,20605.692698313163,15109.550394823655,0.37531308406096764,0
SRG-00022,Enterprise,Dedicated Fiber,60,3,98.5000173357855,0,52853.346286045846,5943.3248637911975,2.2666597323524664,1
SRG-00023,Enterprise,Managed SD-WAN,120,16,99.12068308443861,2,83869.2740128474,22671.331661274282,0.8642267662245559,0
SRG-00024,Wholesale,Dark Fiber,60,30,99.27854016981752,1,68081.16166642221,17343.393297495924,0.5552505987396595,0
SRG-00025,SMB,Dedicated Fiber,120,40,98.58140528580145,2,37144.947262895505,16381.81955743099,0.8924378856794193,0
SRG-00026,Enterprise,Dark Fiber,60,2,99.94988646282877,1,93874.68716209143,3838.1613152449963,2.6200454148684913,1
